127.0.0.1 - - [23/Jan/2025:22:00:15 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:00:15 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:00:15 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2787
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:00:16 +0530] "GET /Major-Project/scripts/audio-to-text.js HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:41 +0530] "GET /Major-Project/landing.html HTTP/1.1" 200 12918
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:41 +0530] "GET /Major-Project/CSS/landing.css HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:41 +0530] "GET /Major-Project/image/summary-check.png HTTP/1.1" 200 32296
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:41 +0530] "GET /Major-Project/image/chatbot.png HTTP/1.1" 200 22002
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:41 +0530] "GET /Major-Project/image/user-logout.png HTTP/1.1" 200 39132
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:41 +0530] "GET /Major-Project/image/languages.png HTTP/1.1" 200 47627
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:41 +0530] "GET /Major-Project/image/robo.jpg HTTP/1.1" 200 85444
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:41 +0530] "GET /Major-Project/image/pencil.png HTTP/1.1" 200 18847
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:41 +0530] "GET /Major-Project/image/back.jpg HTTP/1.1" 200 512726
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:04:45 +0530] "GET /Major-Project/landing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:12:26 +0530] "GET /Major-Project/landing.html HTTP/1.1" 200 13189
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:13:30 +0530] "GET /Major-Project/landing.html HTTP/1.1" 200 13205
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:13:30 +0530] "GET /Major-Project/image/audio.png HTTP/1.1" 200 31422
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:13:54 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:13:54 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:13:54 +0530] "GET /Major-Project/scripts/audio-to-text.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:14:29 +0530] "GET /Major-Project/displaySummary.jsp HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:14:32 +0530] "GET /Major-Project/chatbot.html HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:14:32 +0530] "GET /Major-Project/image/robot1.gif HTTP/1.1" 200 1070053
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:15:13 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:15:14 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:15:14 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:15:14 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:15:34 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:15:34 +0530] "GET /Major-Project/scripts/audio-to-text.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:15:34 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:15:37 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:15:37 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:01 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:02 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:18 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:18 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:18 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:19 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:19 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:19 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:19 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:26 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:16:26 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2787
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:07 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:07 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:25 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:25 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:25 +0530] "GET /Major-Project/scripts/audio-to-text.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:26 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:26 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:26 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:27 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:27 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:27 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:37 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:17:37 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:29 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:29 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:29 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:30 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:30 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:30 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:31 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
