127.0.0.1 - - [20/Feb/2025:09:46:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:46:57 +0530] "GET /Major-Project/ HTTP/1.1" 200 8826
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:46:57 +0530] "GET /Major-Project/image/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:46:57 +0530] "GET /Major-Project/image/github.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:46:57 +0530] "GET /Major-Project/CSS/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:46:57 +0530] "GET /Major-Project/image/log.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:46:57 +0530] "GET /Major-Project/image/register.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:46:57 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:47:18 +0530] "POST /Major-Project/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:47:18 +0530] "GET /Major-Project/landing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:47:18 +0530] "GET /Major-Project/CSS/landing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:47:18 +0530] "GET /Major-Project/image/audio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:47:18 +0530] "GET /Major-Project/image/summary-check.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:47:18 +0530] "GET /Major-Project/image/chatbot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:09:47:18 +0530] "GET /Major-Project/image/user-logout.png HTTP/1.1" 304 -
